Trial No          P(3H)       P(3T)       P(2H1T)         P(1H2T) 
700    0.08857142857142856      0.13428571428571429      0.37      0.40714285714285714 
1400    0.09571428571428571      0.12428571428571429      0.37214285714285716      0.40785714285714286 
2100    0.09380952380952381      0.13047619047619047      0.3657142857142857      0.41 
2800    0.09142857142857143      0.13035714285714287      0.36142857142857143      0.41678571428571426 
3500    0.09      0.13142857142857142      0.3588571428571429      0.4197142857142857 
4200    0.09      0.13523809523809524      0.36023809523809525      0.4145238095238095 
4900    0.09061224489795919      0.13489795918367348      0.3579591836734694      0.41653061224489796 
5600    0.09160714285714286      0.13517857142857143      0.3560714285714286      0.41714285714285715 
6300    0.08936507936507937      0.13936507936507936      0.3565079365079365      0.4147619047619048 
7000    0.089      0.13942857142857143      0.3577142857142857      0.41385714285714287 
7700    0.09025974025974026      0.13948051948051948      0.3566233766233766      0.41363636363636364 
8400    0.08964285714285715      0.1405952380952381      0.355      0.4147619047619048 
9100    0.0889010989010989      0.13956043956043956      0.3546153846153846      0.4169230769230769 
9800    0.09010204081632653      0.1392857142857143      0.35306122448979593      0.4175510204081633 
10500    0.09066666666666667      0.13904761904761906      0.3523809523809524      0.4179047619047619 
11200    0.09026785714285715      0.1392857142857143      0.3541964285714286      0.41625 
11900    0.09117647058823529      0.14008403361344537      0.3534453781512605      0.4152941176470588 
12600    0.09150793650793651      0.14055555555555554      0.35349206349206347      0.41444444444444445 
13300    0.09218045112781954      0.14015037593984964      0.351203007518797      0.4164661654135338 
